% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
2 +5.881962742e+01 +5.881962742e+01 -2.552037258e+01 -2.552037258e+01 +3.7877e-01 +3.6665e-01 +9.4662e-01 +6.6598e-01 +8.9994e-01
33 +3.705134989e+01 +3.705134989e+01 -4.728865011e+01 -4.728865011e+01 +0.0000e+00 +7.6453e-01 +6.9113e-01 +3.5182e-01 +8.8482e-02
697 +2.020849035e+01 +2.020849035e+01 -6.413150965e+01 -6.413150965e+01 +9.7156e-02 +1.0000e+00 +8.1974e-01 +3.2070e-01 +1.0000e+00
% function evaluation | noise-free fitness - Fopt (7.213000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.789838431e+01 +6.789838431e+01 +1.400283843e+02 +1.400283843e+02 +2.3112e-01 +1.0834e-01 +2.5323e-02 +4.2458e-01 +2.9955e-01
8 +5.814413056e+01 +5.814413056e+01 +1.302741306e+02 +1.302741306e+02 +7.0255e-01 +3.0781e-01 +5.1751e-02 +4.2413e-01 +6.9465e-01
52 +3.224867062e+01 +3.224867062e+01 +1.043786706e+02 +1.043786706e+02 +9.5830e-01 +0.0000e+00 +1.6112e-02 +5.9131e-01 +0.0000e+00
1664 +2.507213108e+01 +2.507213108e+01 +9.720213108e+01 +9.720213108e+01 +7.0397e-01 +0.0000e+00 +4.0929e-03 +4.7948e-01 +5.3879e-01
% function evaluation | noise-free fitness - Fopt (-1.338000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.752602956e+01 +4.752602956e+01 -8.627397044e+01 -8.627397044e+01 +2.2210e-01 +6.1645e-01 +5.8019e-01 +3.4497e-01 +8.5224e-01
120 +3.754095053e+01 +3.754095053e+01 -9.625904947e+01 -9.625904947e+01 +1.0000e+00 +4.1858e-02 +0.0000e+00 +1.0000e+00 +1.0000e+00
694 +2.253963846e+01 +2.253963846e+01 -1.112603615e+02 -1.112603615e+02 +5.3536e-01 +3.4172e-01 +1.7152e-01 +8.4106e-01 +7.8517e-01
