% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
2 +1.493605459e+02 +1.493605459e+02 +2.269805459e+02 +2.269805459e+02 +2.9965e-01 +9.3540e-01
3 +3.447373943e+00 +3.447373943e+00 +8.106737394e+01 +8.106737394e+01 +2.7307e-01 +4.9130e-02
12 +2.442219155e+00 +2.442219155e+00 +8.006221915e+01 +8.006221915e+01 +6.0465e-02 +5.3204e-01
25 +6.984123541e-01 +6.984123541e-01 +7.831841235e+01 +7.831841235e+01 +9.0403e-02 +3.8041e-01
46 +8.307460263e-02 +8.307460263e-02 +7.770307460e+01 +7.770307460e+01 +1.1745e-01 +1.7931e-01
57 +1.435145845e-02 +1.435145845e-02 +7.763435146e+01 +7.763435146e+01 +0.0000e+00 +4.9286e-01
% function evaluation | noise-free fitness - Fopt (-1.092400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.320705915e+00 +9.320705915e+00 -9.991929408e+01 -9.991929408e+01 +8.3848e-01 +6.3408e-01
2 +2.712442754e+00 +2.712442754e+00 -1.065275572e+02 -1.065275572e+02 +7.6403e-01 +8.4784e-02
10 +2.063478360e+00 +2.063478360e+00 -1.071765216e+02 -1.071765216e+02 +8.6816e-01 +1.6404e-01
50 +1.463524634e+00 +1.463524634e+00 -1.077764754e+02 -1.077764754e+02 +8.4657e-01 +0.0000e+00
